p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
BH	60	TRUE	1e-04	150	FALSE	0.02	0.8944	0.290322580645161
BH	100	TRUE	1e-04	150	FALSE	0.03	0.8944	0.290322580645161
fdr	10	FALSE	1e-04	200	FALSE	0.09	0.8944	0.290322580645161
bonferroni	10	FALSE	0.001	50	FALSE	0.1	0.9008	0.194805194805195
bonferroni	40	FALSE	0.001	100	TRUE	0.01	0.9024	0.175675675675676
BH	80	FALSE	1e-04	100	TRUE	0.09	0.8928	0.229885057471264
bonferroni	70	TRUE	0.001	50	TRUE	0.04	0.9016	0.174496644295302
bonferroni	90	FALSE	1e-05	50	TRUE	0.06	0.9016	0.174496644295302
BY	20	FALSE	1e-04	50	FALSE	0.01	0.8976	0.209876543209877
hommel	70	FALSE	1e-04	200	TRUE	0.09	0.9016	0.174496644295302
bonferroni	20	FALSE	1e-05	125	FALSE	0.07	0.9008	0.194805194805195
BH	0	FALSE	1e-06	100	FALSE	0.03	0.8944	0.290322580645161
fdr	70	FALSE	1e-06	125	TRUE	0.01	0.8928	0.229885057471264
BH	50	TRUE	1e-04	75	TRUE	0.1	0.8928	0.229885057471264
BY	80	FALSE	0.001	175	FALSE	0.02	0.8976	0.209876543209877
hochberg	80	TRUE	1e-06	100	FALSE	0.07	0.9008	0.205128205128205
bonferroni	20	FALSE	0.001	100	TRUE	0.06	0.9024	0.175675675675676
bonferroni	90	FALSE	1e-04	125	TRUE	0.03	0.9024	0.175675675675676
BH	0	FALSE	0.001	75	FALSE	0.05	0.8944	0.290322580645161
hochberg	70	FALSE	0.001	200	FALSE	0.06	0.9008	0.205128205128205
hommel	20	TRUE	0.001	175	TRUE	0.07	0.9016	0.174496644295302
fdr	80	FALSE	1e-06	50	TRUE	0.06	0.8912	0.227272727272727
holm	10	TRUE	1e-05	200	FALSE	0.03	0.9008	0.205128205128205
BH	90	TRUE	1e-04	200	FALSE	0.01	0.8944	0.290322580645161
fdr	40	FALSE	1e-04	100	FALSE	0.05	0.8944	0.290322580645161
BY	100	FALSE	1e-06	150	FALSE	0.07	0.8976	0.209876543209877
fdr	0	FALSE	1e-05	175	TRUE	0.1	0.8928	0.229885057471264
fdr	0	FALSE	1e-05	175	TRUE	0.1	0.8928	0.229885057471264
holm	100	TRUE	1e-05	50	TRUE	0.05	0.9016	0.174496644295302
fdr	80	TRUE	0.001	100	TRUE	0.09	0.8928	0.229885057471264
BH	50	FALSE	0.001	150	FALSE	0.05	0.8944	0.290322580645161
hommel	70	TRUE	1e-04	100	FALSE	0.06	0.9008	0.205128205128205
bonferroni	90	TRUE	0.001	200	FALSE	0.08	0.9008	0.194805194805195
BY	80	FALSE	1e-06	175	TRUE	0.02	0.9008	0.205128205128205
fdr	90	TRUE	0.001	150	FALSE	0.06	0.8944	0.290322580645161
holm	100	FALSE	1e-06	100	TRUE	0.03	0.9024	0.175675675675676
holm	90	TRUE	1e-05	150	TRUE	0.04	0.9024	0.175675675675676
BY	40	FALSE	1e-04	200	FALSE	0.02	0.8976	0.209876543209877
BH	40	FALSE	1e-05	100	FALSE	0.06	0.8944	0.290322580645161
hommel	20	TRUE	0.001	200	FALSE	0.05	0.9008	0.205128205128205
holm	90	FALSE	1e-04	200	TRUE	0.01	0.9024	0.175675675675676
hommel	0	TRUE	1e-05	50	TRUE	0.06	0.9016	0.174496644295302
BH	80	TRUE	1e-06	175	TRUE	0.06	0.8928	0.229885057471264
BY	70	FALSE	0.001	100	TRUE	0.02	0.9008	0.205128205128205
holm	80	FALSE	1e-06	100	TRUE	0.05	0.9024	0.175675675675676
hochberg	30	TRUE	1e-05	50	TRUE	0.02	0.9016	0.174496644295302
bonferroni	20	TRUE	1e-05	175	FALSE	0.05	0.9008	0.194805194805195
hommel	80	TRUE	1e-04	125	TRUE	0.05	0.9016	0.174496644295302
hochberg	90	TRUE	1e-04	50	FALSE	0.03	0.9008	0.205128205128205
holm	30	FALSE	1e-04	125	TRUE	0.08	0.9024	0.175675675675676
hommel	40	TRUE	1e-05	150	TRUE	0.07	0.9016	0.174496644295302
BH	50	TRUE	1e-06	125	FALSE	0.01	0.8944	0.290322580645161
hommel	20	TRUE	0.001	200	FALSE	0.08	0.9008	0.205128205128205
bonferroni	70	FALSE	1e-04	75	FALSE	0.1	0.9008	0.194805194805195
bonferroni	50	TRUE	1e-06	50	FALSE	0.05	0.9008	0.194805194805195
BY	90	TRUE	0.001	100	TRUE	0.04	0.9008	0.205128205128205
hochberg	50	TRUE	1e-05	75	TRUE	0.04	0.9024	0.175675675675676
BH	30	TRUE	1e-05	75	TRUE	0.01	0.8928	0.229885057471264
bonferroni	40	FALSE	1e-04	100	FALSE	0.01	0.9008	0.194805194805195
BH	30	TRUE	1e-06	175	TRUE	0.04	0.8928	0.229885057471264
holm	10	FALSE	1e-04	200	TRUE	0.08	0.9024	0.175675675675676
holm	70	TRUE	1e-04	125	TRUE	0.09	0.9024	0.175675675675676
holm	20	FALSE	0.001	75	TRUE	0.05	0.9024	0.175675675675676
BY	10	FALSE	1e-05	75	TRUE	0.06	0.9008	0.205128205128205
bonferroni	40	FALSE	1e-05	50	FALSE	0.07	0.9008	0.194805194805195
fdr	10	TRUE	1e-06	100	TRUE	0.1	0.8928	0.229885057471264
hommel	70	TRUE	1e-06	200	FALSE	0.05	0.9008	0.205128205128205
fdr	20	TRUE	1e-04	75	TRUE	0.07	0.8928	0.229885057471264
fdr	0	TRUE	1e-05	100	TRUE	0.01	0.8928	0.229885057471264
holm	60	FALSE	1e-05	200	TRUE	0.06	0.9024	0.175675675675676
hochberg	30	TRUE	1e-05	150	TRUE	0.01	0.9024	0.175675675675676
hochberg	60	TRUE	1e-05	150	FALSE	0.06	0.9008	0.205128205128205
BH	10	TRUE	1e-04	175	TRUE	0.06	0.8928	0.229885057471264
bonferroni	20	FALSE	1e-04	150	TRUE	0.06	0.9024	0.175675675675676
bonferroni	70	FALSE	1e-04	175	FALSE	0.02	0.9008	0.194805194805195
fdr	80	FALSE	1e-06	150	FALSE	0.07	0.8944	0.290322580645161
fdr	100	TRUE	1e-04	200	FALSE	0.07	0.8944	0.290322580645161
holm	50	FALSE	0.001	200	FALSE	0.03	0.9008	0.205128205128205
holm	30	FALSE	1e-05	125	TRUE	0.06	0.9024	0.175675675675676
fdr	10	TRUE	1e-06	75	TRUE	0.02	0.8928	0.229885057471264
holm	90	TRUE	1e-06	175	FALSE	0.04	0.9008	0.205128205128205
BY	30	FALSE	1e-04	125	TRUE	0.1	0.9008	0.205128205128205
bonferroni	100	FALSE	1e-04	50	FALSE	0.1	0.9008	0.194805194805195
holm	0	TRUE	1e-05	150	FALSE	0.04	0.9008	0.205128205128205
fdr	20	TRUE	1e-05	200	FALSE	0.02	0.8944	0.290322580645161
hochberg	80	TRUE	1e-06	50	FALSE	0.05	0.9008	0.205128205128205
BY	80	FALSE	1e-06	175	FALSE	0.1	0.8976	0.209876543209877
fdr	60	FALSE	1e-04	75	TRUE	0.02	0.8928	0.229885057471264
hochberg	80	TRUE	1e-06	50	TRUE	0.04	0.9016	0.174496644295302
hommel	40	TRUE	1e-06	75	FALSE	0.02	0.9008	0.205128205128205
fdr	0	FALSE	0.001	50	FALSE	0.07	0.896	0.308510638297872
BH	20	FALSE	0.001	50	FALSE	0.02	0.896	0.308510638297872
fdr	50	TRUE	1e-05	50	FALSE	0.05	0.896	0.308510638297872
BY	10	FALSE	0.001	50	FALSE	0.01	0.8976	0.209876543209877
BH	0	FALSE	0.001	200	TRUE	0.09	0.8928	0.229885057471264
BH	30	TRUE	1e-05	50	TRUE	0.08	0.8912	0.227272727272727
BY	100	TRUE	0.001	75	FALSE	0.01	0.8976	0.209876543209877
holm	100	FALSE	1e-05	200	FALSE	0.07	0.9008	0.205128205128205
holm	90	FALSE	1e-04	175	FALSE	0.03	0.9008	0.205128205128205
BH	70	TRUE	0.001	100	TRUE	0.09	0.8928	0.229885057471264
holm	70	TRUE	1e-05	200	FALSE	0.06	0.9008	0.205128205128205
fdr	0	TRUE	1e-04	125	TRUE	0.05	0.8928	0.229885057471264
fdr	50	FALSE	1e-05	200	TRUE	0.02	0.8928	0.229885057471264
holm	60	FALSE	0.001	50	TRUE	0.01	0.9016	0.174496644295302
fdr	20	TRUE	1e-04	75	TRUE	0.06	0.8928	0.229885057471264
fdr	20	TRUE	1e-05	150	TRUE	0.06	0.8928	0.229885057471264
fdr	50	FALSE	0.001	50	FALSE	0.1	0.896	0.308510638297872
hochberg	30	FALSE	0.001	75	TRUE	0.07	0.9024	0.175675675675676
bonferroni	50	TRUE	1e-04	150	TRUE	0.01	0.9024	0.175675675675676
fdr	40	FALSE	1e-04	75	TRUE	0.09	0.8928	0.229885057471264
BY	80	TRUE	1e-04	100	TRUE	0.1	0.9008	0.205128205128205
BH	80	FALSE	1e-05	150	FALSE	0.1	0.8944	0.290322580645161
bonferroni	20	TRUE	1e-05	150	TRUE	0.01	0.9024	0.175675675675676
bonferroni	70	TRUE	1e-04	125	TRUE	0.07	0.9024	0.175675675675676
BH	60	FALSE	0.001	200	FALSE	0.04	0.8944	0.290322580645161
bonferroni	10	FALSE	1e-04	150	TRUE	0.09	0.9024	0.175675675675676
BH	50	FALSE	0.001	50	FALSE	0.08	0.896	0.308510638297872
hommel	70	FALSE	1e-05	150	FALSE	0.04	0.9008	0.205128205128205
holm	30	FALSE	1e-06	125	FALSE	0.05	0.9008	0.205128205128205
hommel	10	TRUE	0.001	50	TRUE	0.06	0.9016	0.174496644295302
BH	100	TRUE	1e-06	75	TRUE	0.1	0.8928	0.229885057471264
holm	80	FALSE	0.001	150	FALSE	0.04	0.9008	0.205128205128205
holm	60	TRUE	1e-05	200	TRUE	0.05	0.9024	0.175675675675676
fdr	40	FALSE	1e-06	75	TRUE	0.06	0.8928	0.229885057471264
holm	100	FALSE	1e-04	200	FALSE	0.1	0.9008	0.205128205128205
bonferroni	50	TRUE	1e-04	75	FALSE	0.08	0.9008	0.194805194805195
hochberg	70	TRUE	0.001	50	TRUE	0.02	0.9016	0.174496644295302
holm	30	FALSE	1e-04	100	TRUE	0.02	0.9024	0.175675675675676
fdr	40	TRUE	0.001	200	FALSE	0.06	0.8944	0.290322580645161
hommel	70	TRUE	1e-06	125	TRUE	0.08	0.9016	0.174496644295302
bonferroni	100	TRUE	1e-06	75	TRUE	0.04	0.9024	0.175675675675676
holm	30	FALSE	0.001	125	FALSE	0.01	0.9008	0.205128205128205
hommel	0	TRUE	1e-05	175	TRUE	0.02	0.9016	0.174496644295302
hochberg	0	FALSE	1e-05	175	TRUE	0.06	0.9024	0.175675675675676
holm	80	TRUE	1e-05	175	FALSE	0.06	0.9008	0.205128205128205
BY	50	TRUE	1e-05	125	FALSE	0.06	0.8976	0.209876543209877
hommel	10	FALSE	1e-06	100	FALSE	0.08	0.9008	0.205128205128205
hochberg	20	FALSE	0.001	175	FALSE	0.01	0.9008	0.205128205128205
BH	60	FALSE	1e-06	50	FALSE	0.05	0.896	0.308510638297872
hochberg	60	TRUE	1e-05	200	FALSE	0.05	0.9008	0.205128205128205
holm	10	TRUE	1e-04	50	TRUE	0.06	0.9016	0.174496644295302
hochberg	80	FALSE	1e-06	50	TRUE	0.09	0.9016	0.174496644295302
fdr	30	FALSE	1e-04	50	FALSE	0.01	0.896	0.308510638297872
hochberg	80	TRUE	0.001	125	TRUE	0.09	0.9016	0.174496644295302
hochberg	10	FALSE	1e-05	200	FALSE	0.06	0.9008	0.205128205128205
hommel	40	TRUE	1e-05	200	TRUE	0.03	0.9016	0.174496644295302
hochberg	70	FALSE	1e-04	175	TRUE	0.1	0.9024	0.175675675675676
BH	10	TRUE	1e-04	125	FALSE	0.06	0.8944	0.290322580645161
hommel	70	FALSE	0.001	100	FALSE	0.01	0.9008	0.205128205128205
BY	90	FALSE	1e-04	75	FALSE	0.03	0.8976	0.209876543209877
holm	50	TRUE	0.001	125	TRUE	0.02	0.9016	0.174496644295302
fdr	60	TRUE	1e-04	75	TRUE	0.03	0.8928	0.229885057471264
bonferroni	30	FALSE	0.001	200	TRUE	0.08	0.9024	0.175675675675676
hochberg	70	TRUE	1e-04	100	TRUE	0.01	0.9024	0.175675675675676
BH	50	FALSE	1e-05	150	TRUE	0.02	0.8928	0.229885057471264
hochberg	60	TRUE	1e-06	75	TRUE	0.02	0.9024	0.175675675675676
BH	100	FALSE	1e-06	100	FALSE	0.06	0.8944	0.290322580645161
bonferroni	20	FALSE	1e-04	125	TRUE	0.06	0.9024	0.175675675675676
BH	100	FALSE	0.001	200	FALSE	0.04	0.8944	0.290322580645161
hochberg	30	TRUE	0.001	75	TRUE	0.06	0.9024	0.175675675675676
hochberg	90	FALSE	0.001	50	FALSE	0.06	0.9008	0.205128205128205
hochberg	0	FALSE	1e-05	150	FALSE	0.03	0.9008	0.205128205128205
BY	90	TRUE	1e-05	175	TRUE	0.09	0.9008	0.205128205128205
bonferroni	50	TRUE	1e-04	150	FALSE	0.01	0.9008	0.194805194805195
BH	20	FALSE	1e-06	50	FALSE	0.02	0.896	0.308510638297872
hommel	0	TRUE	1e-06	100	TRUE	0.08	0.9016	0.174496644295302
holm	40	TRUE	1e-05	100	TRUE	0.08	0.9024	0.175675675675676
bonferroni	40	FALSE	1e-04	50	TRUE	0.1	0.9016	0.174496644295302
BY	20	FALSE	0.001	75	FALSE	0.1	0.8976	0.209876543209877
hommel	50	FALSE	1e-04	150	TRUE	0.09	0.9016	0.174496644295302
BH	30	FALSE	1e-05	100	TRUE	0.02	0.8928	0.229885057471264
BH	0	FALSE	0.001	200	FALSE	0.04	0.8944	0.290322580645161
BY	40	TRUE	0.001	125	TRUE	0.04	0.9008	0.205128205128205
fdr	80	TRUE	0.001	175	TRUE	0.07	0.8928	0.229885057471264
BH	100	FALSE	0.001	100	TRUE	0.06	0.8928	0.229885057471264
BH	0	FALSE	1e-06	100	TRUE	0.1	0.8928	0.229885057471264
holm	100	TRUE	1e-04	75	FALSE	0.07	0.9008	0.205128205128205
fdr	90	FALSE	1e-05	50	FALSE	0.03	0.896	0.308510638297872
BY	40	FALSE	1e-05	150	TRUE	0.04	0.9008	0.205128205128205
fdr	90	TRUE	1e-04	75	TRUE	0.07	0.8928	0.229885057471264
hochberg	10	FALSE	1e-05	150	TRUE	0.09	0.9024	0.175675675675676
hommel	90	FALSE	1e-06	75	TRUE	0.09	0.9016	0.174496644295302
BH	30	FALSE	0.001	75	FALSE	0.01	0.8944	0.290322580645161
bonferroni	60	FALSE	1e-06	100	FALSE	0.08	0.9008	0.194805194805195
bonferroni	50	FALSE	0.001	75	FALSE	0.1	0.9008	0.194805194805195
BY	40	TRUE	0.001	125	FALSE	0.03	0.8976	0.209876543209877
hochberg	60	TRUE	0.001	150	TRUE	0.07	0.9016	0.174496644295302
hommel	70	FALSE	1e-06	125	FALSE	0.07	0.9008	0.205128205128205
holm	100	TRUE	1e-04	200	FALSE	0.02	0.9008	0.205128205128205
hochberg	80	FALSE	1e-05	50	FALSE	0.07	0.9008	0.205128205128205
BY	80	FALSE	1e-04	125	TRUE	0.05	0.9008	0.205128205128205
BH	100	TRUE	0.001	50	FALSE	0.03	0.896	0.308510638297872
BY	0	TRUE	1e-04	100	TRUE	0.05	0.9008	0.205128205128205
holm	0	FALSE	1e-04	75	FALSE	0.09	0.9008	0.205128205128205
hochberg	50	TRUE	1e-05	175	FALSE	0.06	0.9008	0.205128205128205
hommel	80	FALSE	1e-06	125	TRUE	0.03	0.9016	0.174496644295302
fdr	20	FALSE	0.001	100	FALSE	0.09	0.8944	0.290322580645161
BY	30	TRUE	1e-06	50	FALSE	0.02	0.8976	0.209876543209877
BH	30	FALSE	1e-04	50	FALSE	0.09	0.896	0.308510638297872
hochberg	30	FALSE	1e-04	50	FALSE	0.01	0.9008	0.205128205128205
BY	70	FALSE	0.001	50	TRUE	0.08	0.9008	0.205128205128205
BH	20	FALSE	1e-04	175	FALSE	0.04	0.8944	0.290322580645161
hommel	30	TRUE	0.001	100	FALSE	0.02	0.9008	0.205128205128205
bonferroni	90	TRUE	0.001	75	TRUE	0.07	0.9024	0.175675675675676
hochberg	90	TRUE	0.001	200	FALSE	0.03	0.9008	0.205128205128205
hochberg	90	TRUE	0.001	125	TRUE	0.06	0.9016	0.174496644295302
fdr	70	FALSE	1e-04	175	TRUE	0.06	0.8928	0.229885057471264
hommel	80	TRUE	1e-06	175	TRUE	0.03	0.9016	0.174496644295302
hommel	80	TRUE	0.001	75	FALSE	0.01	0.9008	0.205128205128205
holm	10	FALSE	1e-04	75	FALSE	0.08	0.9008	0.205128205128205
hochberg	80	FALSE	1e-04	125	TRUE	0.09	0.9024	0.175675675675676
BY	30	FALSE	1e-04	100	FALSE	0.07	0.8976	0.209876543209877
fdr	60	FALSE	1e-05	75	TRUE	0.07	0.8928	0.229885057471264
BH	0	FALSE	1e-06	200	TRUE	0.04	0.8928	0.229885057471264
BH	70	FALSE	0.001	175	FALSE	0.09	0.8944	0.290322580645161
fdr	60	FALSE	1e-06	175	FALSE	0.07	0.8944	0.290322580645161
hommel	60	FALSE	1e-04	200	TRUE	0.1	0.9016	0.174496644295302
BH	60	TRUE	1e-05	150	FALSE	0.02	0.8944	0.290322580645161
hommel	30	TRUE	1e-04	50	FALSE	0.05	0.9008	0.205128205128205
hochberg	40	TRUE	1e-06	125	FALSE	0.01	0.9008	0.205128205128205
holm	20	TRUE	1e-06	125	TRUE	0.02	0.9024	0.175675675675676
hochberg	90	FALSE	1e-04	125	FALSE	0.02	0.9008	0.205128205128205
hochberg	80	TRUE	1e-06	200	FALSE	0.09	0.9008	0.205128205128205
hommel	80	FALSE	1e-05	125	FALSE	0.07	0.9008	0.205128205128205
bonferroni	30	TRUE	0.001	100	FALSE	0.1	0.9008	0.194805194805195
fdr	0	TRUE	0.001	200	FALSE	0.03	0.8944	0.290322580645161
bonferroni	80	FALSE	1e-05	75	TRUE	0.05	0.9024	0.175675675675676
BY	100	TRUE	0.001	175	TRUE	0.09	0.9008	0.205128205128205
holm	0	TRUE	1e-04	150	FALSE	0.08	0.9008	0.205128205128205
hommel	20	TRUE	1e-05	175	TRUE	0.04	0.9016	0.174496644295302
BH	70	FALSE	1e-05	125	TRUE	0.04	0.8928	0.229885057471264
fdr	20	FALSE	1e-05	200	TRUE	0.04	0.8928	0.229885057471264
hommel	10	TRUE	1e-06	175	TRUE	0.02	0.9016	0.174496644295302
BH	80	FALSE	1e-05	175	FALSE	0.08	0.8944	0.290322580645161
BH	90	TRUE	1e-04	200	TRUE	0.01	0.8928	0.229885057471264
holm	90	FALSE	1e-05	50	FALSE	0.1	0.9008	0.205128205128205
BH	50	TRUE	1e-06	150	TRUE	0.03	0.8928	0.229885057471264
hochberg	10	TRUE	1e-04	175	TRUE	0.09	0.9024	0.175675675675676
BY	70	FALSE	1e-06	125	TRUE	0.06	0.9008	0.205128205128205
bonferroni	30	TRUE	1e-06	175	TRUE	0.02	0.9024	0.175675675675676
hommel	50	FALSE	1e-06	100	TRUE	0.06	0.9016	0.174496644295302
hochberg	70	FALSE	1e-04	125	TRUE	0.05	0.9024	0.175675675675676
hommel	0	FALSE	1e-05	100	TRUE	0.09	0.9016	0.174496644295302
fdr	10	TRUE	0.001	125	TRUE	0.01	0.8928	0.229885057471264
bonferroni	10	TRUE	1e-05	150	FALSE	0.08	0.9008	0.194805194805195
holm	0	TRUE	1e-06	175	FALSE	0.08	0.9008	0.205128205128205
fdr	100	TRUE	0.001	150	FALSE	0.07	0.8944	0.290322580645161
BH	30	TRUE	0.001	50	FALSE	0.04	0.896	0.308510638297872
BH	0	TRUE	0.001	100	FALSE	0.07	0.8944	0.290322580645161
BY	60	TRUE	1e-06	75	FALSE	0.09	0.8976	0.209876543209877
hommel	20	FALSE	1e-05	200	FALSE	0.02	0.9008	0.205128205128205
hochberg	40	FALSE	0.001	175	FALSE	0.06	0.9008	0.205128205128205
bonferroni	90	TRUE	1e-06	125	TRUE	0.08	0.9024	0.175675675675676
BY	80	FALSE	1e-05	75	FALSE	0.06	0.8976	0.209876543209877
holm	60	FALSE	1e-06	100	TRUE	0.1	0.9024	0.175675675675676
BY	50	TRUE	1e-04	125	TRUE	0.03	0.9008	0.205128205128205
holm	60	TRUE	1e-05	175	TRUE	0.09	0.9024	0.175675675675676
hochberg	20	FALSE	1e-06	200	FALSE	0.09	0.9008	0.205128205128205
bonferroni	80	TRUE	1e-06	150	FALSE	0.01	0.9008	0.194805194805195
fdr	90	FALSE	1e-05	150	FALSE	0.1	0.8944	0.290322580645161
BY	20	TRUE	1e-05	50	TRUE	0.06	0.9008	0.205128205128205
holm	100	TRUE	1e-05	150	FALSE	0.09	0.9008	0.205128205128205
bonferroni	70	FALSE	1e-06	175	TRUE	0.01	0.9024	0.175675675675676
hochberg	30	TRUE	1e-06	200	TRUE	0.08	0.9024	0.175675675675676
hommel	10	TRUE	1e-04	125	TRUE	0.09	0.9016	0.174496644295302
BH	100	FALSE	1e-06	200	FALSE	0.01	0.8944	0.290322580645161
fdr	60	FALSE	0.001	150	TRUE	0.06	0.8928	0.229885057471264
holm	50	TRUE	0.001	200	FALSE	0.05	0.9008	0.205128205128205
BH	10	TRUE	1e-06	100	FALSE	0.09	0.8944	0.290322580645161
fdr	0	TRUE	1e-04	175	FALSE	0.1	0.8944	0.290322580645161
bonferroni	0	TRUE	1e-06	75	TRUE	0.09	0.9024	0.175675675675676
hommel	90	FALSE	1e-06	100	FALSE	0.06	0.9008	0.205128205128205
hochberg	10	TRUE	1e-06	175	FALSE	0.08	0.9008	0.205128205128205
BY	10	FALSE	1e-06	100	TRUE	0.1	0.9008	0.205128205128205
hommel	40	TRUE	1e-06	175	FALSE	0.09	0.9008	0.205128205128205
BH	50	TRUE	1e-06	50	TRUE	0.09	0.8912	0.227272727272727
hommel	70	FALSE	1e-06	100	TRUE	0.07	0.9016	0.174496644295302
hommel	80	TRUE	1e-05	125	FALSE	0.06	0.9008	0.205128205128205
hommel	10	TRUE	1e-04	200	TRUE	0.02	0.9016	0.174496644295302
hochberg	80	FALSE	1e-06	200	TRUE	0.04	0.9024	0.175675675675676
BY	20	TRUE	1e-05	175	FALSE	0.05	0.8976	0.209876543209877
bonferroni	60	FALSE	1e-06	175	FALSE	0.08	0.9008	0.194805194805195
holm	0	TRUE	1e-06	150	TRUE	0.02	0.9024	0.175675675675676
BY	40	TRUE	1e-05	100	TRUE	0.03	0.9008	0.205128205128205
BY	70	FALSE	1e-04	50	FALSE	0.04	0.8976	0.209876543209877
bonferroni	0	FALSE	1e-05	150	FALSE	0.06	0.9008	0.194805194805195
hommel	0	FALSE	1e-05	200	FALSE	0.09	0.9008	0.205128205128205
hochberg	50	FALSE	0.001	175	FALSE	0.04	0.9008	0.205128205128205
hommel	90	FALSE	0.001	50	TRUE	0.09	0.9016	0.174496644295302
BH	50	TRUE	1e-05	200	TRUE	0.08	0.8928	0.229885057471264
holm	20	TRUE	1e-04	100	TRUE	0.03	0.9024	0.175675675675676
bonferroni	10	TRUE	1e-06	50	TRUE	0.08	0.9016	0.174496644295302
bonferroni	30	FALSE	1e-05	125	TRUE	0.07	0.9024	0.175675675675676
fdr	70	FALSE	0.001	150	FALSE	0.09	0.8944	0.290322580645161
BH	90	FALSE	1e-06	175	FALSE	0.07	0.8944	0.290322580645161
BH	10	TRUE	1e-06	100	FALSE	0.08	0.8944	0.290322580645161
hommel	70	TRUE	1e-04	75	TRUE	0.1	0.9016	0.174496644295302
BY	0	TRUE	1e-06	175	FALSE	0.1	0.8976	0.209876543209877
BY	0	TRUE	0.001	125	TRUE	0.03	0.9008	0.205128205128205
holm	100	TRUE	1e-06	75	TRUE	0.08	0.9024	0.175675675675676
hochberg	90	FALSE	0.001	150	TRUE	0.01	0.9016	0.174496644295302
hochberg	0	FALSE	1e-04	50	FALSE	0.02	0.9008	0.205128205128205
