method	metric	value
FlashWeave	recall	0.325
FlashWeave	recall3	0.3825
FlashWeave	recall4	0.3825
FlashWeave	precision	0.397553516819572
FlashWeave	precision3	0.393316195372751
FlashWeave	precision4	0.393316195372751
FlashWeave	fpr	0.0547222222222222
FlashWeave	fpr3	0.0655555555555556
FlashWeave	fpr4	0.0655555555555556
FlashWeave	fdr	0.602446483180428
FlashWeave	fdr3	0.606683804627249
FlashWeave	fdr4	0.606683804627249
FlashWeave	F1	0.357634112792297
FlashWeave	F13	0.387832699619772
FlashWeave	F14	0.387832699619772
FlashWeave	recall	0.286
FlashWeave	recall3	0.316
FlashWeave	recall4	0.318
FlashWeave	precision	0.420588235294118
FlashWeave	precision3	0.404092071611253
FlashWeave	precision4	0.404580152671756
FlashWeave	fpr	0.0437777777777778
FlashWeave	fpr3	0.0517777777777778
FlashWeave	fpr4	0.052
FlashWeave	fdr	0.579411764705882
FlashWeave	fdr3	0.595907928388747
FlashWeave	fdr4	0.595419847328244
FlashWeave	F1	0.34047619047619
FlashWeave	F13	0.354657687991021
FlashWeave	F14	0.356103023516237
FlashWeave	recall	0.255
FlashWeave	recall3	0.296666666666667
FlashWeave	recall4	0.296666666666667
FlashWeave	precision	0.435897435897436
FlashWeave	precision3	0.443890274314214
FlashWeave	precision4	0.442786069651741
FlashWeave	fpr	0.0366666666666667
FlashWeave	fpr3	0.0412962962962963
FlashWeave	fpr4	0.0414814814814815
FlashWeave	fdr	0.564102564102564
FlashWeave	fdr3	0.556109725685786
FlashWeave	fdr4	0.557213930348259
FlashWeave	F1	0.321766561514196
FlashWeave	F13	0.355644355644356
FlashWeave	F14	0.355289421157685
FlashWeave	recall	0.215384615384615
FlashWeave	recall3	0.247692307692308
FlashWeave	recall4	0.247692307692308
FlashWeave	precision	0.422960725075529
FlashWeave	precision3	0.421465968586387
FlashWeave	precision4	0.420365535248042
FlashWeave	fpr	0.0326495726495726
FlashWeave	fpr3	0.0377777777777778
FlashWeave	fpr4	0.037948717948718
FlashWeave	fdr	0.577039274924471
FlashWeave	fdr3	0.578534031413613
FlashWeave	fdr4	0.579634464751958
FlashWeave	F1	0.285423037716616
FlashWeave	F13	0.312015503875969
FlashWeave	F14	0.311713455953533
FlashWeave	recall	0.22
FlashWeave	recall3	0.257142857142857
FlashWeave	recall4	0.257142857142857
FlashWeave	precision	0.407407407407407
FlashWeave	precision3	0.420560747663551
FlashWeave	precision4	0.420560747663551
FlashWeave	fpr	0.0355555555555556
FlashWeave	fpr3	0.0393650793650794
FlashWeave	fpr4	0.0393650793650794
FlashWeave	fdr	0.592592592592593
FlashWeave	fdr3	0.579439252336449
FlashWeave	fdr4	0.579439252336449
FlashWeave	F1	0.285714285714286
FlashWeave	F13	0.319148936170213
FlashWeave	F14	0.319148936170213
FlashWeave	recall	0.192
FlashWeave	recall3	0.224
FlashWeave	recall4	0.224
FlashWeave	precision	0.39344262295082
FlashWeave	precision3	0.401913875598086
FlashWeave	precision4	0.401913875598086
FlashWeave	fpr	0.0328888888888889
FlashWeave	fpr3	0.037037037037037
FlashWeave	fpr4	0.037037037037037
FlashWeave	fdr	0.60655737704918
FlashWeave	fdr3	0.598086124401914
FlashWeave	fdr4	0.598086124401914
FlashWeave	F1	0.258064516129032
FlashWeave	F13	0.287671232876712
FlashWeave	F14	0.287671232876712
FlashWeave	recall	0.19
FlashWeave	recall3	0.22375
FlashWeave	recall4	0.225
FlashWeave	precision	0.440579710144928
FlashWeave	precision3	0.434466019417476
FlashWeave	precision4	0.433734939759036
FlashWeave	fpr	0.0268055555555556
FlashWeave	fpr3	0.0323611111111111
FlashWeave	fpr4	0.0326388888888889
FlashWeave	fdr	0.559420289855072
FlashWeave	fdr3	0.565533980582524
FlashWeave	fdr4	0.566265060240964
FlashWeave	F1	0.265502183406114
FlashWeave	F13	0.295379537953795
FlashWeave	F14	0.296296296296296
FlashWeave	recall	0.181176470588235
FlashWeave	recall3	0.196470588235294
FlashWeave	recall4	0.196470588235294
FlashWeave	precision	0.394871794871795
FlashWeave	precision3	0.393867924528302
FlashWeave	precision4	0.393867924528302
FlashWeave	fpr	0.0308496732026144
FlashWeave	fpr3	0.0335947712418301
FlashWeave	fpr4	0.0335947712418301
FlashWeave	fdr	0.605128205128205
FlashWeave	fdr3	0.606132075471698
FlashWeave	fdr4	0.606132075471698
FlashWeave	F1	0.248387096774194
FlashWeave	F13	0.262166405023548
FlashWeave	F14	0.262166405023548
FlashWeave	recall	0.198888888888889
FlashWeave	recall3	0.222222222222222
FlashWeave	recall4	0.222222222222222
FlashWeave	precision	0.460154241645244
FlashWeave	precision3	0.460829493087558
FlashWeave	precision4	0.460829493087558
FlashWeave	fpr	0.0259259259259259
FlashWeave	fpr3	0.0288888888888889
FlashWeave	fpr4	0.0288888888888889
FlashWeave	fdr	0.539845758354756
FlashWeave	fdr3	0.539170506912442
FlashWeave	fdr4	0.539170506912442
FlashWeave	F1	0.277734678044996
FlashWeave	F13	0.299850074962519
FlashWeave	F14	0.299850074962519
ANCOM-BC	recall	0.11
ANCOM-BC	precision	0.458333333333333
ANCOM-BC	fpr	0.0144444444444444
ANCOM-BC	fdr	0.541666666666667
ANCOM-BC	F1	0.17741935483871
ANCOM-BC	recall	0.084
ANCOM-BC	precision	0.388888888888889
ANCOM-BC	fpr	0.0146666666666667
ANCOM-BC	fdr	0.611111111111111
ANCOM-BC	F1	0.138157894736842
ANCOM-BC	recall	0.0883333333333333
ANCOM-BC	precision	0.449152542372881
ANCOM-BC	fpr	0.012037037037037
ANCOM-BC	fdr	0.550847457627119
ANCOM-BC	F1	0.147632311977716
ANCOM-BC	recall	0.0661538461538462
ANCOM-BC	precision	0.413461538461538
ANCOM-BC	fpr	0.0104273504273504
ANCOM-BC	fdr	0.586538461538462
ANCOM-BC	F1	0.114058355437666
ANCOM-BC	recall	0.0657142857142857
ANCOM-BC	precision	0.393162393162393
ANCOM-BC	fpr	0.0112698412698413
ANCOM-BC	fdr	0.606837606837607
ANCOM-BC	F1	0.112607099143207
ANCOM-BC	recall	0.0573333333333333
ANCOM-BC	precision	0.373913043478261
ANCOM-BC	fpr	0.0106666666666667
ANCOM-BC	fdr	0.626086956521739
ANCOM-BC	F1	0.0994219653179191
ANCOM-BC	recall	0.05375
ANCOM-BC	precision	0.398148148148148
ANCOM-BC	fpr	0.00902777777777778
ANCOM-BC	fdr	0.601851851851852
ANCOM-BC	F1	0.0947136563876652
ANCOM-BC	recall	0.0482352941176471
ANCOM-BC	precision	0.422680412371134
ANCOM-BC	fpr	0.0073202614379085
ANCOM-BC	fdr	0.577319587628866
ANCOM-BC	F1	0.0865892291446674
ANCOM-BC	recall	0.0566666666666667
ANCOM-BC	precision	0.443478260869565
ANCOM-BC	fpr	0.00790123456790123
ANCOM-BC	fdr	0.556521739130435
ANCOM-BC	F1	0.100492610837438
ANCOM-BC2	recall	0.065
ANCOM-BC2	precision	0.541666666666667
ANCOM-BC2	fpr	0.00611111111111111
ANCOM-BC2	fdr	0.458333333333333
ANCOM-BC2	F1	0.116071428571429
ANCOM-BC2	recall	0.044
ANCOM-BC2	precision	0.372881355932203
ANCOM-BC2	fpr	0.00822222222222222
ANCOM-BC2	fdr	0.627118644067797
ANCOM-BC2	F1	0.0787119856887299
ANCOM-BC2	recall	0.0633333333333333
ANCOM-BC2	precision	0.481012658227848
ANCOM-BC2	fpr	0.00759259259259259
ANCOM-BC2	fdr	0.518987341772152
ANCOM-BC2	F1	0.111929307805596
ANCOM-BC2	recall	0.0230769230769231
ANCOM-BC2	precision	0.454545454545455
ANCOM-BC2	fpr	0.00307692307692308
ANCOM-BC2	fdr	0.545454545454545
ANCOM-BC2	F1	0.0439238653001464
ANCOM-BC2	recall	0.0428571428571429
ANCOM-BC2	precision	0.4
ANCOM-BC2	fpr	0.00714285714285714
ANCOM-BC2	fdr	0.6
ANCOM-BC2	F1	0.0774193548387097
ANCOM-BC2	recall	0.04
ANCOM-BC2	precision	0.535714285714286
ANCOM-BC2	fpr	0.00385185185185185
ANCOM-BC2	fdr	0.464285714285714
ANCOM-BC2	F1	0.0744416873449131
ANCOM-BC2	recall	0.03125
ANCOM-BC2	precision	0.490196078431373
ANCOM-BC2	fpr	0.00361111111111111
ANCOM-BC2	fdr	0.509803921568627
ANCOM-BC2	F1	0.0587544065804935
ANCOM-BC2	recall	0.0317647058823529
ANCOM-BC2	precision	0.46551724137931
ANCOM-BC2	fpr	0.00405228758169935
ANCOM-BC2	fdr	0.53448275862069
ANCOM-BC2	F1	0.0594713656387665
ANCOM-BC2	recall	0.0255555555555556
ANCOM-BC2	precision	0.410714285714286
ANCOM-BC2	fpr	0.00407407407407407
ANCOM-BC2	fdr	0.589285714285714
ANCOM-BC2	F1	0.0481171548117155
